numero_route;nb_troncons;longueur_km;cout_km;cout_total
A10;1413;525.965;0.115788;60.9
A89;1325;448.707;0.131488;59.0
N205;6;7.766;7.258687;56.37
N543;5;13.589;4.083885;55.5
A28;627;273.066;0.184202;50.3
A4;1318;415.247;0.107646;44.7
A11;809;306.903;0.141088;43.3
A6;1377;405.21;0.101922;41.3
A26;1327;363.81;0.109398;39.8
A71;820;290.357;0.107108;31.1
A9;1063;282.51;0.107961;30.5
A29;671;237.329;0.123878;29.4
A8;925;211.584;0.13281;28.1
A7;870;250.311;0.112261;28.1
A43;727;182.089;0.152672;27.8
A85;412;202.742;0.128736;26.1
A16;827;212.661;0.117559;25.0
A64;665;189.612;0.12763;24.2
A65;243;145.662;0.158588;23.1
A31;798;229.666;0.097531;22.4
A62;697;214.834;0.103338;22.2
A41;375;101.578;0.215594;21.9
A36;599;184.137;0.115673;21.3
A5;663;231.401;0.091616;21.2
A19;276;138.394;0.147409;20.4
A40;752;187.03;0.101053;18.9
A1;524;153.956;0.122759;18.9
A13;451;133.164;0.135176;18.0
A63;246;90.843;0.19705;17.9
A61;435;137.907;0.116743;16.1
D735;11;3.61;4.432133;16.0
A20;505;130.432;0.121904;15.9
A51;373;123.958;0.1202;14.9
A81;241;97.249;0.137789;13.4
A39;519;143.563;0.089858;12.9
A83;475;146.045;0.086957;12.7
A87;290;112.459;0.110261;12.4
A77;231;74.256;0.164288;12.2
A86;26;11.984;0.984975;11.8
A49;225;59.38;0.1903;11.3
A75;74;20.166;0.560238;11.3
A14;100;16.951;0.637168;10.8
A88;115;30.299;0.287129;8.7
A48;158;46.378;0.155239;7.2
N159;9;7.124;0.955056;6.8
A66;126;37.759;0.164195;6.2
N1029;24;4.753;1.284211;6.1
A50;116;27.797;0.18705;5.2
A355;60;21.755;0.229885;5.0
A79;170;74.31;0.06594;4.9
A57;136;31.888;0.153653;4.9
A42;183;40.906;0.119775;4.9
A837;108;36.339;0.126582;4.6
A72;121;39.717;0.113293;4.5
A2;160;43.673;0.100756;4.4
A54;247;53.0;0.083019;4.4
A52;140;26.545;0.13936;3.7
A150;49;19.933;0.175615;3.5
N182;10;2.931;0.989761;2.9
A466;21;6.746;0.42963;2.9
A131;11;2.488;1.164659;2.9
A6BPNL;21;6.121;0.424837;2.6
A42BPNL;4;0.69;3.768116;2.6
A430;50;15.9;0.157233;2.5
A6BPNL/A42BPNL;1;0.105;23.636364;2.49
A410;71;22.199;0.108108;2.4
A404;92;17.185;0.133877;2.3
A68;76;13.031;0.130468;1.7
A719;58;18.435;0.05423;1.0
A813;20;6.749;0.133333;0.9
A406;54;9.24;0.08658;0.8
NON_RENSEIGNE;2727;280.658;0.0;0.0
A709;37;10.143;0.0;0.0
D36;3;0.067;0.0;0.0
A500;9;2.497;0.0;0.0
A311;16;4.252;0.0;0.0
A46;97;22.578;0.0;0.0
A344;21;4.409;0.0;0.0
D523;6;0.451;0.0;0.0
A620;13;1.621;0.0;0.0
A432;104;31.335;0.0;0.0
A38;20;2.889;0.0;0.0
A520;18;3.794;0.0;0.0
A620/A61;11;1.646;0.0;0.0
A411;3;0.416;0.0;0.0
A714;23;5.466;0.0;0.0
N82;11;0.926;0.0;0.0
A5A;16;1.687;0.0;0.0
N248;16;2.859;0.0;0.0
A7N;60;9.557;0.0;0.0
M336;3;0.295;0.0;0.0
A314;13;2.168;0.0;0.0
A711;25;7.369;0.0;0.0
D21;1;0.093;0.0;0.0
N814;1;0.051;0.0;0.0
A641;36;7.265;0.0;0.0
A154;25;2.647;0.0;0.0
N523;17;5.52;0.0;0.0
A21;12;4.199;0.0;0.0
A40/A42;5;0.896;0.0;0.0
A9/A709;2;0.287;0.0;0.0
N79;2;0.609;0.0;0.0
N89/A89;5;0.416;0.0;0.0
A34;26;5.158;0.0;0.0
A43/A41;2;0.412;0.0;0.0
A28/A28;4;0.141;0.0;0.0
A645;10;5.03;0.0;0.0
D646;8;0.319;0.0;0.0
A501;18;2.955;0.0;0.0
A7/A8;3;0.407;0.0;0.0
D820E4;1;0.374;0.0;0.0
A680;31;7.837;0.0;0.0
A140;8;2.62;0.0;0.0
A5/A31;2;0.357;0.0;0.0
A40/A40;3;0.277;0.0;0.0
A391;30;4.452;0.0;0.0
D2189;3;0.253;0.0;0.0
A26/A26;1;0.516;0.0;0.0
D35B;2;0.059;0.0;0.0
A2/A2;2;0.786;0.0;0.0
A51N;86;21.526;0.0;0.0
N159/N159;3;0.362;0.0;0.0
A710W;3;1.953;0.0;0.0
A16/A16;4;0.389;0.0;0.0
A900524;2;0.22;0.0;0.0
A11.1;6;2.294;0.0;0.0
D1001;3;0.351;0.0;0.0
A39/A40;1;0.087;0.0;0.0
D83;1;0.115;0.0;0.0
D611EB;1;0.108;0.0;0.0
A62/A62;2;0.646;0.0;0.0
D820E3;1;0.356;0.0;0.0
A7/A9;1;0.003;0.0;0.0
A43/A43;1;0.201;0.0;0.0
A29/A150;2;0.493;0.0;0.0
N4;3;1.1;0.0;0.0
A81/N157;1;0.024;0.0;0.0
A150/A150;2;0.079;0.0;0.0
A501/A501;1;0.023;0.0;0.0
A72/A89;4;0.877;0.0;0.0
A5A/A5;2;0.423;0.0;0.0
N20/N523;1;0.003;0.0;0.0
A10/A8;1;0.015;0.0;0.0
A6/A31;3;0.305;0.0;0.0
A501/A52;1;0.003;0.0;0.0
A710W/A89;1;0.054;0.0;0.0
A64/A64;1;0.74;0.0;0.0
D907;2;0.028;0.0;0.0
A314/A4;1;0.291;0.0;0.0
A14/A13;1;0.162;0.0;0.0
A83/A83;3;0.203;0.0;0.0
A1/A1;1;0.147;0.0;0.0
A43/A430;2;0.645;0.0;0.0
A7/A7;1;0.25;0.0;0.0
N12/A86;1;0.322;0.0;0.0
A711/A711;2;0.442;0.0;0.0
D119;1;0.228;0.0;0.0
A71/A71;1;0.002;0.0;0.0
A4/A355;1;0.038;0.0;0.0
D168B;1;0.086;0.0;0.0
A903108;2;0.027;0.0;0.0
D784;1;0.039;0.0;0.0
A430/N90;1;0.143;0.0;0.0
D1330;1;0.3;0.0;0.0
A41/A41;2;0.136;0.0;0.0
A43/N543;1;0.025;0.0;0.0
N79/A79;1;0.102;0.0;0.0
D1555;1;0.12;0.0;0.0
N572;1;0.012;0.0;0.0
A72/A72;5;0.172;0.0;0.0
N113;1;0.036;0.0;0.0
D1330EA;2;0.168;0.0;0.0
A63/A63;1;0.077;0.0;0.0
